date,kdhe_neg_results,kdhe_pos_results,harveyco_tot_results,harveyco_pos_results,harveyco_confirmed,harveyco_recovered
2020-05-25,15,0,,,15,13
2020-05-26,7,0,,,15,13
2020-05-27,7,0,,,15,13
2020-05-28,24,0,,,15,13
2020-05-29,16,0,,,15,13
2020-05-30,19,0,,,15,13
2020-05-31,15,0,,,15,13
2020-06-01,5,0,,,15,13
2020-06-02,24,0,,,15,13
2020-06-03,21,0,,,15,13
2020-06-04,19,0,,,15,13
2020-06-05,15,0,,,15,13
2020-06-06,26,0,,,15,13
2020-06-07,11,0,,,15,13
2020-06-08,30,0,,,15,13
2020-06-09,13,0,,,15,13
2020-06-10,29,1,,,15,13
2020-06-11,16,0,,,16,13
2020-06-12,42,0,,,16,13
2020-06-13,72,0,,,16,13
2020-06-14,43,0,,,16,13
2020-06-15,33,0,,,16,13
2020-06-16,30,0,,,16,13
2020-06-17,37,0,,,16,13
2020-06-18,19,3,,,16,13
2020-06-19,32,0,,,19,13
2020-06-20,20,2,,,19,13
2020-06-21,12,2,,,21,13
2020-06-22,30,4,,,24,13
2020-06-23,51,4,,,24,14
2020-06-24,68,1,,,28,14
2020-06-25,42,1,,,32,14
2020-06-26,124,7,,,32,15
2020-06-27,68,1,,,32,15
2020-06-28,4,0,,,32,15
2020-06-29,57,2,,,40,19
2020-06-30,20,0,,,41,20
2020-07-01,18,1,,,42,22
2020-07-02,30,5,,,42,27
2020-07-03,34,4,,,47,28
2020-07-04,22,0,,,47,28
2020-07-05,22,2,,,47,28
2020-07-06,32,3,,,53,35
2020-07-07,96,7,,,53,35
2020-07-08,282,11,,,55,38
2020-07-09,53,4,,,63,42
2020-07-10,90,11,,,63,42
2020-07-11,53,6,,,81,44
2020-07-12,88,4,,,81,44
2020-07-13,27,2,,,81,44
2020-07-14,78,4,,,95,51
2020-07-15,32,3,,,95,51
2020-07-16,64,3,,,102,70
2020-07-17,58,7,,,108,72
2020-07-18,46,1,,,108,72
2020-07-19,52,1,,,108,72
2020-07-20,111,6,74,8,116,83
2020-07-21,217,4,18,2,118,96
2020-07-22,61,7,45,11,129,100
2020-07-23,34,3,33,4,133,107
2020-07-24,44,0,63,0,133,109
2020-07-25,31,2,31,5,138,116
2020-07-26,14,4,35,0,138,116
2020-07-27,22,5,15,2,140,117
2020-07-28,28,4,19,3,143,117
2020-07-29,48,7,27,10,153,122
2020-07-30,40,9,54,0,153,122
2020-07-31,44,8,35,10,163,129
2020-08-01,63,2,38,0,163,129
2020-08-02,12,2,22,7,170,133
2020-08-03,27,4,41,5,175,138
2020-08-04,220,10,28,4,179,142
2020-08-05,44,3,173,8,187,150
2020-08-06,45,6,50,6,193,156
2020-08-07,57,5,65,7,200,160
2020-08-08,39,0,78,6,206,160
2020-08-09,39,2,13,1,207,162
2020-08-10,12,2,13,3,210,173
2020-08-11,56,5,62,1,211,184
2020-08-12,197,1,32,6,217,186
2020-08-13,26,3,83,1,218,196
2020-08-14,54,9,16,4,222,199
2020-08-15,49,21,32,4,226,201
2020-08-16,39,3,49,10,236,203
2020-08-17,18,1,34,21,257,203
2020-08-18,20,3,24,0,257,205
2020-08-19,50,1,27,7,264,207
2020-08-20,60,4,14,0,264,213
2020-08-21,92,2,48,3,267,216
2020-08-22,22,4,24,2,269,217
2020-08-23,7,1,49,4,273,223
2020-08-24,28,2,32,2,275,228
2020-08-25,27,1,37,2,277,248
2020-08-26,31,7,33,4,281,251
2020-08-27,25,2,11,0,281,260
2020-08-28,35,3,22,6,287,265
2020-08-29,24,1,22,1,288,265
2020-08-30,18,1,18,1,289,267
2020-08-31,12,1,16,0,289,270
2020-09-01,42,1,27,3,292,272
2020-09-02,27,7,14,3,295,276
2020-09-03,30,5,48,2,297,278
2020-09-04,77,3,20,4,301,279
2020-09-05,18,1,31,5,306,284
2020-09-06,12,1,12,1,307,285
2020-09-07,10,0,21,2,309,287
2020-09-08,23,1,28,0,309,288
2020-09-09,13,4,,,309,288
2020-09-10,171,1,,,313,291
2020-09-11,29,6,,,314,299
2020-09-12,29,1,,,316,299
2020-09-13,19,1,,,318,300
2020-09-14,25,1,,,320,302
2020-09-15,39,3,,,323,305
2020-09-16,155,5,,,325,307
2020-09-17,43,1,,,328,310
2020-09-18,161,3,,,331,311
2020-09-19,34,1,,,335,312
2020-09-20,,,,,337,315
2020-09-21,,,,,339,322
2020-09-22,,,,,340,323
2020-09-23,,,,,342,325
