date,kdhe_neg_results,kdhe_pos_results,harveyco_neg_results,harveyco_pos_results,harveyco_recovered
2020-05-25,15,0,,,13
2020-05-26,7,0,,,13
2020-05-27,7,0,,,13
2020-05-28,24,0,,,13
2020-05-29,16,0,,,13
2020-05-30,19,0,,,13
2020-05-31,15,0,,,13
2020-06-01,5,0,,,13
2020-06-02,24,0,,,13
2020-06-03,21,0,,,13
2020-06-04,19,0,,,13
2020-06-05,15,0,,,13
2020-06-06,26,0,,,13
2020-06-07,11,0,,,13
2020-06-08,30,0,,,13
2020-06-09,13,0,,,13
2020-06-10,29,1,,,13
2020-06-11,16,0,,,13
2020-06-12,42,0,,,13
2020-06-13,72,0,,,13
2020-06-14,43,0,,,13
2020-06-15,33,0,,,13
2020-06-16,30,0,,,13
2020-06-17,39,0,,,13
2020-06-18,21,3,,,13
2020-06-19,32,0,,,13
2020-06-20,21,2,,,13
2020-06-21,13,2,,,13
2020-06-22,30,4,,,13
2020-06-23,52,4,,,14
2020-06-24,70,1,,,14
2020-06-25,43,1,,,14
2020-06-26,127,7,,,15
2020-06-27,70,1,,,15
2020-06-28,5,0,,,15
2020-06-29,58,2,,,19
2020-06-30,21,0,,,20
2020-07-01,20,1,,,22
2020-07-02,33,5,,,27
2020-07-03,35,4,,,28
2020-07-04,22,0,,,28
2020-07-05,23,2,,,28
2020-07-06,33,3,,,35
2020-07-07,99,7,,,35
2020-07-08,287,11,,,38
2020-07-09,56,4,,,42
2020-07-10,91,11,,,42
2020-07-11,61,6,,,44
2020-07-12,88,4,,,44
2020-07-13,27,2,,,44
2020-07-14,78,4,,,51
2020-07-15,33,3,,,51
2020-07-16,64,3,,,70
2020-07-17,60,7,,,72
2020-07-18,46,1,,,72
2020-07-19,51,1,,,72
2020-07-20,99,7,74,8,83
2020-07-21,219,4,18,2,96
2020-07-22,61,6,45,11,100
2020-07-23,35,3,33,4,107
2020-07-24,44,0,63,0,109
2020-07-25,32,2,31,5,116
2020-07-26,16,4,35,0,116
2020-07-27,21,5,15,2,117
2020-07-28,28,4,19,3,117
2020-07-29,48,7,27,10,122
2020-07-30,42,9,54,0,122
2020-07-31,44,8,35,10,129
2020-08-01,63,2,38,0,129
2020-08-02,12,2,22,7,133
2020-08-03,28,4,41,5,138
2020-08-04,220,10,28,4,142
2020-08-05,45,3,173,8,150
2020-08-06,45,6,50,6,156
2020-08-07,56,5,65,7,160
2020-08-08,39,0,78,6,160
2020-08-09,39,2,13,1,162
2020-08-10,14,2,13,3,173
2020-08-11,57,5,62,1,184
2020-08-12,197,1,32,6,186
2020-08-13,26,3,83,1,196
2020-08-14,51,9,16,4,199
2020-08-15,50,22,32,4,201
2020-08-16,42,3,49,10,203
2020-08-17,21,1,34,21,203
2020-08-18,19,3,24,0,205
2020-08-19,52,1,27,7,207
2020-08-20,56,4,14,0,213
2020-08-21,83,2,48,3,216
2020-08-22,17,3,24,2,217
2020-08-23,,,49,4,223
2020-08-24,,,32,2,228
